Staffing Rate,Brand Ambassador - no certification,Brand Ambassador - w/ certification,Team Lead,Festival Brand Ambassador - no certification,Festival Brand Ambassador - w/ certification,Festival Team Lead,BRIKA Retail Sales Associate,Brika Store manager,Field Representative,Other (mascot etc.)
Labatt,$49.25,$53.30,$60.75,$54.25,$58.30,$65.75, $28.60 , $34.13 , $60.00 ,$87.75
RBC,$49.25,$53.30,$60.75,$54.25,$58.30,$65.75, $28.60 , $34.13 , $35.00 ,$87.75
Blended,$49.25,$53.30,$60.75,$54.25,$58.30,$65.75, $28.60 , $34.13 , $60.00 ,$87.75
